Disease,Diet
Psoriasis,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Vitamin D foods', 'Antioxidant-rich foods', 'Gluten-free options']"
Eczema,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Probiotics', 'Vitamin D foods', 'Low-dairy diet']"
Shingles,"['Vitamin B12 rich foods', 'Lysine-rich foods', 'Anti-inflammatory foods', 'Vitamin C rich foods', 'Immune-boosting foods']"
Hypoglycemia,"['Complex carbohydrates', 'Protein-rich foods', 'Frequent small meals', 'Low glycemic index foods', 'Healthy fats']"
Hyperglycemia,"['Low glycemic index foods', 'High-fiber foods', 'Lean proteins', 'Healthy fats', 'Limited refined carbs']"
Stress,"['Complex carbohydrates', 'Omega-3 rich foods', 'Magnesium-rich foods', 'Green tea', 'Dark chocolate']"
Vitamin D Deficiency,"['Fatty fish', 'Egg yolks', 'Fortified foods', 'Mushrooms', 'Vitamin D enriched dairy']"
Scabies,"['Anti-inflammatory foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Immune-boosting foods', 'Turmeric']"
Conjunctivitis,"['Vitamin A rich foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Vertigo,"['Low-sodium foods', 'Potassium-rich foods', 'Anti-inflammatory foods', 'Hydrating foods', 'Regular small meals']"
Otitis Media,"['Anti-inflammatory foods', 'Immune-boosting foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Probiotics']"
Acne,"['Low glycemic index foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Antioxidant-rich foods', 'Probiotics']"
Cold Sore,"['Lysine-rich foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Immune-boosting foods', 'Low-arginine foods']"
Blister,"['Protein-rich foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Hives,"['Anti-inflammatory foods', 'Low-histamine foods', 'Quercetin-rich foods', 'Probiotics', 'Avoid trigger foods']"
Actinic Keratosis,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Beta-carotene foods', 'Omega-3 rich foods', 'Anti-inflammatory foods']"
Rosacea,"['Anti-inflammatory foods', 'Low-histamine foods', 'Omega-3 rich foods', 'Probiotics', 'Avoid trigger foods']"
Carbuncle,"['High-protein foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Probiotics']"
Latex Allergy,"['Anti-inflammatory foods', 'Quercetin-rich foods', 'Vitamin C rich foods', 'Omega-3 rich foods', 'Avoid cross-reactive foods']"
Cellulitis,"['High-protein foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Immune-boosting foods']"
Melasma,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Green tea', 'Anti-inflammatory foods', 'Hydrating foods']"
Basal Cell Carcinoma,"['Antioxidant-rich foods', 'Beta-carotene foods', 'Vitamin D foods', 'Anti-inflammatory foods', 'Green tea']"
Squamous Cell Carcinoma,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Beta-carotene foods', 'Anti-inflammatory foods', 'Green tea']"
Melanoma,"['Antioxidant-rich foods', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Green tea', 'Turmeric']"
Lupus,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Low-sodium foods', 'Calcium-rich foods', 'Vitamin D foods']"
Seborrheic Eczema,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Probiotics', 'Zinc-rich foods', 'Vitamin D foods']"
Keratosis Pilaris,"['Vitamin A rich foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Ringworm,"['Anti-fungal foods', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
